Rank,teamId,teamImageId,teamFullName,Team,teamAbbrevName,teamShortName,leagueId,leagueName,GM,SubOn,SubOff,GWG,SOG,SOTInBox,SOTOBox,BlkdInBox,BlkdOutBox,OFF,OffTgtOBox,OffTgtInBox,PenTaken,PenGoal,ShotDirFK,GoalDirFK,GoalInBx,GoalOBx,GoalOP,GoalHead,OfTgHd,SOTHead,GoalLF,GoalRF,ShotLF,ShotRF,PsOpHfFl,PsOnHfFl,PsAtt,PsOnHfScs,PsOpHfScs,ExpG,Goal,Ast,ExpA,BgChnc,BgChncCrtd,ChncSetPl,ChncOpnPl,Chance,1v1,1v1InBox,Scs1v1InBox,SucflDuels,Success1v1,ThrghBalls,ThrghBlCmp,Touches,DuelLs,FailTackle,SucflTkls,Int,DefTouch,SucflTklPct,Clrnce,HeadClear,Recovery,FlComA3,FlComD3,FlComM3,FlSufA3,FlSufD3,FlSufM3,Offsides,CleanSheet,CrossPunch,ErrGoal,ErrShot,Cleared,KeeperCtch,GoalCncd,GoalCnIBx,GoalCnOBx,PensWon,Saves,SvBody,SvCght,SvClct,SvDive,SvFeet,SvFTip,SvHands,SvInBox,SvOutBox,SvPrdDng,SvPrdSaf,SvReach,SvStand,SvStoop,2ndYellow,Red,Yellow,BgChncFace,Turnover,Disposs,TchsA3,TchsD3,TchsM3,TouchOpBox,PctPassFwd,PassSucPct,PsCmpM3,PsCmpA3,PsCmpD3,PsAttA3,PsAttM3,PsAttD3,AerialSucPct,Aerials,ExpGAg,BgChncGoal,Crosses,DefTouchD3,DefTouchD3,DefTouchM3,DefTouchA3,OpenPlayxG,SetPiecexG,OpenPlayxG,SetPiecexG,NonPenxG,KeyPasses,DefBlocks,xGPerShot,ShotsTotal,CrossScsPct,CrossScsPctOpnPl,PctRegainsWithin6S,RecoveriesOppositionHalf,OpponentPossessionsStartingAndEndingInTheirOwnHalf,ConcededPassesIntoBox,PassesIntoBox,ConcededPassesIntoBox,optaTeamId,Week,game,Home,Away,Win,Draw,Loss,Date,gameId,opponentId,opponentTeamImageId,oppOptaTeamId,teamFullName,opponentFullName,opponent,score,finalScoreOpponent,gameStatus,Result,scatterId,scatterExtra
1,b3436h8h14zw7f1uv6w9vqf6y,15380,Pacific,Pacific,PAC,Pacific,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,1,8,7,1,2,2,9,3,5,1,0,0,0,3,0,3,1,2,1,2,0,10,4,54,14,588,360,160,4,3,3,3.47,8,6,2,15,17,17,4,2,56,8,4,4,788,61,10,17,10,53,64.30%,16,7,57,6,7,6,3,3,6,2,0,0,0,0,2,2,2,2,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,4,15,162,304,322,29,26.50%,88.40%,231,67,222,82,263,243,56.30%,16,0.31,3,21,33,33,15,5,2.91,1.09,2.91,1.09,3.73,14,0,0.19,21,0.48,0.43,55.60%,28,15,8,16,8,15380,,PAC vs VAL,TRUE,FALSE,TRUE,FALSE,FALSE,4/17/2022,7tnrk7s1kn6cat4od23gqvl04,dd2vf0yzjm7jm7cak9tf11sa2,15378,15378,Pacific,Valour,VAL,3,2,Played,W 3-2,2276223,PAC vs VAL (2022-04-17)
2,dn8tjhuq0bax4dgixqvluhzze,16614,Atlético Ottawa,Atlético Ottawa,ATO,Atlético,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,0,11,11,0,2,4,5,2,1,0,0,0,0,0,0,0,0,2,3,0,0,4,7,58,26,331,134,113,1.49,0,0,1.24,3,3,8,8,16,13,1,0,55,8,0,0,525,45,7,14,14,47,60.00%,12,10,64,2,1,7,2,3,6,3,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,2,2,8,117,178,230,27,43.50%,74.60%,126,36,85,49,166,116,57.70%,26,1.22,0,17,31,31,14,2,0.93,0.56,0.93,0.56,1.49,16,3,0.07,22,0.29,0,42.90%,10,25,11,19,11,16614,,ATO vs PAC,TRUE,FALSE,FALSE,FALSE,TRUE,5/7/2022,7v9u5fh5vipqr6u1sv48vh2j8,b3436h8h14zw7f1uv6w9vqf6y,15380,15380,Atlético Ottawa,Pacific,PAC,0,1,Played,L 0-1,2276236,ATO vs PAC (2022-05-07)
3,c2pdzdl3dgf5b0siidn2ay5ii,15377,Forge,Forge,FOR,Forge,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,4,4,0,5,4,1,5,4,3,0,2,0,0,0,0,0,1,1,0,2,0,0,1,2,4,44,14,508,200,250,1.58,1,1,1.01,3,2,4,9,13,19,1,0,51,11,1,0,715,46,5,10,7,30,62.50%,8,2,46,6,1,8,4,4,7,3,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,3,1,2,6,237,152,326,41,29.90%,88.60%,250,103,97,124,273,111,50.00%,20,0.54,0,42,15,15,12,3,0.78,0.8,0.78,0.8,1.58,12,1,0.09,17,0.21,0.16,53.80%,19,12,14,30,14,15377,,FOR vs ATO,TRUE,FALSE,FALSE,TRUE,FALSE,5/14/2022,7ve593zeywji6ty225c3mb9ck,dn8tjhuq0bax4dgixqvluhzze,16614,16614,Forge,Atlético Ottawa,ATO,1,1,Played,T 1-1,2276237,FOR vs ATO (2022-05-14)
3,cqthcpums3aas2tdy0qhlkuwa,15382,York United,York United,YRK,York,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,3,3,1,7,4,3,1,0,9,1,5,0,0,2,0,1,1,2,1,2,2,0,1,5,7,52,21,314,134,107,1.17,2,2,1.06,1,1,4,9,13,20,0,0,60,12,0,0,510,50,9,11,10,50,74.10%,19,10,63,6,1,6,4,5,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,8,116,175,219,21,38.20%,76.80%,140,29,72,43,171,100,42.90%,28,1.1,0,21,38,38,12,0,0.5,0.67,0.5,0.67,1.17,11,2,0.07,17,0.24,0.15,27.60%,9,20,14,14,14,15382,,YRK vs CAV,TRUE,FALSE,TRUE,FALSE,FALSE,4/22/2022,7trwq4h9nn6ifmk2gistxo5ck,41ewt71n8fqwy6trsqta1bjvu,15381,15381,York United,Cavalry,CAV,2,0,Played,W 2-0,2276224,YRK vs CAV (2022-04-22)
3,41ewt71n8fqwy6trsqta1bjvu,15381,Cavalry,Cavalry,CAV,Cavalry,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,2,2,0,4,3,1,3,0,9,3,2,0,0,2,0,0,0,0,0,2,1,0,0,5,5,61,18,459,198,182,1.34,0,0,1.2,0,0,6,7,13,16,1,0,49,9,1,0,675,49,9,6,15,44,75.00%,13,4,57,2,2,11,4,2,6,0,0,0,0,0,0,1,1,1,0,0,3,0,0,2,1,0,0,3,2,1,1,0,0,1,1,0,0,4,1,2,10,171,127,377,32,33.10%,82.80%,259,58,63,72,308,79,46.40%,28,1.67,0,36,24,24,18,2,0.69,0.66,0.69,0.66,1.34,13,3,0.08,16,0.28,0.17,31.10%,14,13,5,26,5,15381,,ATO vs CAV,FALSE,TRUE,FALSE,FALSE,TRUE,4/9/2022,7svngikxjdp572w3h94c27hg4,dn8tjhuq0bax4dgixqvluhzze,16614,16614,Cavalry,Atlético Ottawa,ATO,0,1,Played,L 0-1,2276217,ATO vs CAV (2022-04-09)
6,73xrv2025rnj0t3y9ayp83bec,6925,Edmonton,Edmonton,EDM,Edmonton,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,0,1,0,1,1,1,9,1,6,0,0,0,0,0,0,0,0,4,0,0,0,3,3,49,26,309,136,98,0.44,0,0,0.4,0,0,2,9,11,17,1,0,56,11,1,1,495,45,8,14,6,39,66.70%,11,3,49,3,4,5,1,5,8,2,0,1,0,0,1,0,3,2,1,0,5,0,1,2,1,1,0,4,4,1,2,0,0,1,2,0,0,1,5,2,7,91,191,213,15,40.80%,75.70%,118,34,82,40,152,117,47.40%,19,1.4,0,12,31,31,7,1,0.34,0.1,0.34,0.1,0.44,11,2,0.04,12,0.5,0.5,14.30%,11,21,17,12,17,6925,,EDM vs CAV,TRUE,FALSE,FALSE,FALSE,TRUE,5/7/2022,7v1exwbamyw4d18c7jr6a7b4k,41ewt71n8fqwy6trsqta1bjvu,15381,15381,Edmonton,Cavalry,CAV,0,3,Played,L 0-3,2276234,EDM vs CAV (2022-05-07)
6,cqthcpums3aas2tdy0qhlkuwa,15382,York United,York United,YRK,York,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,4,4,0,7,2,5,2,2,3,0,2,0,0,1,0,0,1,1,0,1,1,0,1,5,3,67,27,470,208,168,1.45,1,1,1.3,2,2,3,8,11,25,1,1,63,10,0,0,699,45,8,20,13,58,77.80%,16,5,68,2,2,6,1,3,9,4,0,1,0,0,2,2,1,1,0,0,3,0,0,2,0,0,0,3,0,3,0,1,1,0,2,0,0,5,0,4,4,151,218,330,16,35.30%,80.00%,210,50,116,60,262,148,52.20%,23,0.4,0,26,35,35,17,6,0.64,0.82,0.64,0.82,1.45,10,1,0.1,14,0.27,0.2,40.00%,14,24,9,19,9,15382,,EDM vs YRK,FALSE,TRUE,FALSE,TRUE,FALSE,4/16/2022,7tau4kgx1n5aze0tnawvhyq6s,73xrv2025rnj0t3y9ayp83bec,6925,6925,York United,Edmonton,EDM,1,1,Played,T 1-1,2276220,EDM vs YRK (2022-04-16)
6,cqthcpums3aas2tdy0qhlkuwa,15382,York United,York United,YRK,York,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,3,3,0,3,2,1,1,2,8,2,3,1,0,0,0,0,0,0,0,2,0,0,0,2,7,70,38,296,98,90,1.58,0,0,0.73,1,0,5,6,11,17,1,1,46,10,3,0,503,58,3,12,13,43,53.60%,14,6,61,5,2,10,2,4,5,2,0,0,0,0,1,3,1,0,1,1,3,0,0,2,1,0,0,3,2,1,0,1,0,1,1,0,0,4,0,4,9,119,177,207,19,46.60%,63.50%,102,20,66,43,145,108,40.00%,25,0.52,0,19,22,22,19,2,0.37,1.21,0.37,1.21,0.79,11,2,0.11,14,0.32,0.18,52.20%,20,38,23,21,23,15382,,VAL vs YRK,FALSE,TRUE,FALSE,FALSE,TRUE,5/15/2022,7vr03vkxl0logctgpffg250yc,dd2vf0yzjm7jm7cak9tf11sa2,15378,15378,York United,Valour,VAL,0,1,Played,L 0-1,2276240,VAL vs YRK (2022-05-15)
6,dd2vf0yzjm7jm7cak9tf11sa2,15378,Valour,Valour,VAL,Valour,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,2,2,0,5,3,2,4,1,8,3,2,0,0,0,0,1,1,1,0,1,1,1,1,2,9,62,20,350,168,100,2.75,2,1,1.74,0,0,3,8,11,8,0,0,42,5,0,0,537,53,8,6,9,49,77.80%,24,12,40,4,5,9,3,1,7,1,0,2,0,0,0,0,2,1,1,0,2,0,0,2,0,0,0,1,1,1,0,0,0,1,1,0,0,3,1,2,18,116,191,230,21,39.10%,76.60%,134,33,101,47,174,129,50.00%,24,0.82,0,19,34,34,12,3,1.01,1.74,1.01,1.74,2.75,10,4,0.15,18,0.26,0.3,32.40%,9,15,13,11,13,15378,,PAC vs VAL,FALSE,TRUE,FALSE,TRUE,FALSE,5/28/2022,7wbfumbhncegii9hi6bdw2zv8,b3436h8h14zw7f1uv6w9vqf6y,15380,15380,Valour,Pacific,PAC,2,2,Played,T 2-2,2276245,PAC vs VAL (2022-05-28)
6,dn8tjhuq0bax4dgixqvluhzze,16614,Atlético Ottawa,Atlético Ottawa,ATO,Atlético,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,1,5,5,0,3,2,4,1,2,1,1,0,0,2,0,1,0,1,0,0,2,2,6,67,32,335,136,100,2.54,2,1,1.66,4,3,2,9,11,19,4,2,50,9,2,2,514,57,10,11,10,50,55.30%,18,9,50,4,3,6,3,1,8,2,0,0,0,0,0,1,1,1,0,1,2,0,0,2,1,0,0,2,1,1,0,0,0,1,0,0,0,1,2,0,7,128,203,183,28,42.70%,70.40%,96,46,94,64,136,135,47.40%,19,1.16,2,12,37,37,10,3,1.72,0.81,1.72,0.81,1.75,10,3,0.18,14,0.25,0,40.00%,12,20,17,14,17,16614,,EDM vs ATO,FALSE,TRUE,TRUE,FALSE,FALSE,5/22/2022,7w3cr8d8o97ighxffac7o2qdw,73xrv2025rnj0t3y9ayp83bec,6925,6925,Atlético Ottawa,Edmonton,EDM,2,1,Played,W 2-1,2276243,EDM vs ATO (2022-05-22)
11,c2pdzdl3dgf5b0siidn2ay5ii,15377,Forge,Forge,FOR,Forge,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,1,10,8,2,1,1,6,4,0,0,0,0,0,4,0,4,1,2,1,1,2,5,8,48,21,428,161,198,3.11,4,3,1.7,3,2,2,8,10,29,3,1,59,16,0,0,651,50,7,17,12,40,88.90%,3,2,65,4,0,6,5,5,5,4,1,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,2,1,1,0,1,0,0,1,0,0,3,0,2,18,232,181,238,35,32.90%,83.90%,153,104,102,127,175,126,33.30%,12,0.29,3,22,19,19,18,3,2.29,0.82,2.29,0.82,3.11,7,1,0.17,18,0.09,0,34.10%,20,22,6,22,6,15377,,HFX vs FOR,FALSE,TRUE,TRUE,FALSE,FALSE,5/20/2022,7w7dgxwol442zyz8grc7u1ams,5gmx3o5y2oc0i6rowjwtu7jvu,15376,15376,Forge,HFX Wanderers,HFX,4,0,Played,W 4-0,2276244,HFX vs FOR (2022-05-20)
11,cqthcpums3aas2tdy0qhlkuwa,15382,York United,York United,YRK,York,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,0,1,0,1,2,7,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,69,22,357,160,106,0.67,0,0,0.47,1,1,1,9,10,21,2,1,58,12,0,0,565,49,5,11,13,53,53.30%,23,10,52,5,4,7,2,5,9,1,1,0,0,0,0,2,0,0,0,0,3,0,0,2,0,0,1,3,0,3,0,0,1,0,2,0,0,1,0,4,7,120,221,224,15,36.10%,74.50%,127,33,106,55,162,140,66.70%,21,0.38,0,18,34,34,16,3,0.54,0.13,0.54,0.13,0.67,10,2,0.05,13,0.06,0.08,43.20%,10,18,17,10,17,15382,,PAC vs YRK,FALSE,TRUE,FALSE,TRUE,FALSE,5/21/2022,7vv5bqozh7lrbsj0ahldextlg,b3436h8h14zw7f1uv6w9vqf6y,15380,15380,York United,Pacific,PAC,0,0,Played,T 0-0,2276241,PAC vs YRK (2022-05-21)
11,5gmx3o5y2oc0i6rowjwtu7jvu,15376,HFX Wanderers,HFX Wanderers,HFX,Wanderers,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,4,4,0,6,4,2,1,1,8,5,2,0,0,0,0,0,0,0,0,1,0,0,0,5,8,62,37,384,164,121,1.45,0,0,0.77,0,0,1,9,10,12,0,0,61,8,3,1,590,55,11,11,10,44,73.30%,11,7,70,3,3,7,1,6,5,2,1,2,0,0,1,0,0,0,0,0,3,0,1,1,1,0,0,3,2,1,1,0,0,1,1,0,0,3,0,0,17,117,242,231,24,44.30%,74.20%,129,34,122,47,173,164,59.40%,32,0.62,0,12,29,29,11,4,1.07,0.38,1.07,0.38,1.45,10,6,0.09,16,0.17,0.2,34.20%,19,25,19,21,19,15376,,VAL vs HFX,FALSE,TRUE,FALSE,TRUE,FALSE,5/7/2022,7v5k14cw4jq747xcvp00ya13o,dd2vf0yzjm7jm7cak9tf11sa2,15378,15378,HFX Wanderers,Valour,VAL,0,0,Played,T 0-0,2276235,VAL vs HFX (2022-05-07)
11,5gmx3o5y2oc0i6rowjwtu7jvu,15376,HFX Wanderers,HFX Wanderers,HFX,Wanderers,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,3,3,1,2,2,0,3,2,5,1,2,1,1,0,0,1,0,0,0,1,1,0,1,2,3,69,24,368,170,105,1.62,1,0,0.82,1,0,4,6,10,21,1,0,65,11,0,0,580,43,10,10,13,58,80.00%,23,15,59,5,2,5,4,6,5,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,10,130,225,225,21,44.30%,74.70%,123,39,113,55,163,150,67.90%,28,0.56,1,10,38,38,12,8,0.23,1.39,0.23,1.39,0.83,10,3,0.14,12,0.4,0,44.90%,18,20,15,18,15,15376,,HFX vs YRK,TRUE,FALSE,TRUE,FALSE,FALSE,6/4/2022,7wtvfsqbligsp1ot5eov65tec,cqthcpums3aas2tdy0qhlkuwa,15382,15382,HFX Wanderers,York United,YRK,1,0,Played,W 1-0,2276249,HFX vs YRK (2022-06-04)
11,5gmx3o5y2oc0i6rowjwtu7jvu,15376,HFX Wanderers,HFX Wanderers,HFX,Wanderers,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,4,4,0,6,3,3,0,0,6,4,2,0,0,0,0,0,0,0,0,2,0,0,0,4,6,45,30,441,170,196,0.84,0,0,0.76,0,0,0,10,10,15,0,0,45,5,0,0,615,39,9,13,6,39,81.50%,11,6,38,2,4,4,2,1,4,2,0,0,0,1,1,0,1,1,0,0,2,0,1,0,0,0,0,2,1,1,1,0,0,1,1,0,0,2,1,0,6,155,165,295,16,34.70%,83.00%,199,79,88,90,239,112,57.90%,19,1.52,0,24,22,22,14,3,0.84,0,0.84,0,0.84,10,5,0.07,12,0.25,0.35,17.90%,5,14,18,13,18,15376,,CAV vs HFX,FALSE,TRUE,FALSE,FALSE,TRUE,6/11/2022,7x6a13297w4yer6wc2w65wphw,41ewt71n8fqwy6trsqta1bjvu,15381,15381,HFX Wanderers,Cavalry,CAV,0,1,Played,L 0-1,2276252,CAV vs HFX (2022-06-11)
11,dd2vf0yzjm7jm7cak9tf11sa2,15378,Valour,Valour,VAL,Valour,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,4,4,0,3,1,2,2,3,7,3,2,0,0,0,0,0,1,1,0,1,0,1,0,3,6,65,23,459,201,170,1.03,1,1,0.92,2,1,2,8,10,27,5,1,54,6,3,0,670,54,14,18,6,48,78.00%,9,3,76,4,1,5,2,2,6,5,0,0,0,0,0,0,1,1,0,0,2,0,0,2,0,0,0,2,2,0,0,0,0,1,1,0,0,2,1,4,3,165,165,340,26,37.50%,80.80%,216,53,102,75,260,124,31.60%,19,1.19,0,20,23,23,24,1,0.83,0.19,0.83,0.19,1.03,9,1,0.07,15,0.2,0.18,51.10%,22,25,7,23,7,15378,,EDM vs VAL,FALSE,TRUE,FALSE,TRUE,FALSE,4/10/2022,7t13lsa9fnok0ki08pgmy4a38,73xrv2025rnj0t3y9ayp83bec,6925,6925,Valour,Edmonton,EDM,1,1,Played,T 1-1,2276218,EDM vs VAL (2022-04-10)
