Rank,teamId,teamImageId,teamFullName,Team,teamAbbrevName,teamShortName,leagueId,leagueName,GM,SubOn,SubOff,GWG,SOG,SOTInBox,SOTOBox,BlkdInBox,BlkdOutBox,OFF,OffTgtOBox,OffTgtInBox,PenTaken,PenGoal,ShotDirFK,GoalDirFK,GoalInBx,GoalOBx,GoalOP,GoalHead,OfTgHd,SOTHead,GoalLF,GoalRF,ShotLF,ShotRF,PsOpHfFl,PsOnHfFl,PsAtt,PsOnHfScs,PsOpHfScs,ExpG,Goal,Ast,ExpA,BgChnc,BgChncCrtd,ChncSetPl,ChncOpnPl,Chance,1v1,1v1InBox,Scs1v1InBox,SucflDuels,Success1v1,ThrghBalls,ThrghBlCmp,Touches,DuelLs,FailTackle,SucflTkls,Int,DefTouch,SucflTklPct,Clrnce,HeadClear,Recovery,FlComA3,FlComD3,FlComM3,FlSufA3,FlSufD3,FlSufM3,Offsides,CleanSheet,CrossPunch,ErrGoal,ErrShot,Cleared,KeeperCtch,GoalCncd,GoalCnIBx,GoalCnOBx,PensWon,Saves,SvBody,SvCght,SvClct,SvDive,SvFeet,SvFTip,SvHands,SvInBox,SvOutBox,SvPrdDng,SvPrdSaf,SvReach,SvStand,SvStoop,2ndYellow,Red,Yellow,BgChncFace,Turnover,Disposs,TchsA3,TchsD3,TchsM3,TouchOpBox,PctPassFwd,PassSucPct,PsCmpM3,PsCmpA3,PsCmpD3,PsAttA3,PsAttM3,PsAttD3,AerialSucPct,Aerials,ExpGAg,BgChncGoal,Crosses,DefTouchD3,DefTouchD3,DefTouchM3,DefTouchA3,OpenPlayxG,SetPiecexG,OpenPlayxG,SetPiecexG,NonPenxG,KeyPasses,DefBlocks,xGPerShot,ShotsTotal,CrossScsPct,CrossScsPctOpnPl,PctRegainsWithin6S,RecoveriesOppositionHalf,OpponentPossessionsStartingAndEndingInTheirOwnHalf,ConcededPassesIntoBox,PassesIntoBox,ConcededPassesIntoBox,optaTeamId,Week,game,Home,Away,Win,Draw,Loss,Date,gameId,opponentId,opponentTeamImageId,oppOptaTeamId,teamFullName,opponentFullName,opponent,score,finalScoreOpponent,gameStatus,Result,scatterId,scatterExtra
11,dd2vf0yzjm7jm7cak9tf11sa2,15378,Valour,Valour,VAL,Valour,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,3,3,1,9,8,1,3,1,7,2,3,1,1,0,0,5,1,4,1,2,1,0,5,1,12,40,25,430,266,99,3.82,6,2,0.89,5,1,3,7,10,23,1,1,42,8,0,0,594,48,4,8,8,36,66.70%,14,6,51,1,2,12,3,4,6,1,0,0,0,0,0,0,1,1,0,1,2,0,0,1,1,0,0,2,1,1,0,1,0,1,0,0,0,2,0,4,7,109,241,244,25,30.50%,84.90%,167,38,160,47,193,190,56.30%,16,0.75,3,10,24,24,12,0,2.56,1.25,2.56,1.25,3.03,8,3,0.19,20,0.4,0.17,42.30%,9,29,13,12,13,15378,,ATO vs VAL,FALSE,TRUE,TRUE,FALSE,FALSE,4/24/2022,7u4m1n8m79feixw87wrpd6vis,dn8tjhuq0bax4dgixqvluhzze,16614,16614,Valour,Atlético Ottawa,ATO,6,1,Played,W 6-1,2276227,ATO vs VAL (2022-04-24)
11,41ewt71n8fqwy6trsqta1bjvu,15381,Cavalry,Cavalry,CAV,Cavalry,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,3,3,1,4,3,1,1,3,4,2,2,0,0,1,0,1,0,0,0,0,0,0,1,4,4,45,14,482,275,148,1.52,1,1,1.3,1,1,3,7,10,14,1,0,39,5,1,0,668,45,6,10,4,43,76.20%,23,12,46,1,2,4,4,2,4,3,1,0,0,0,1,0,0,0,0,0,6,0,0,5,3,0,0,6,3,3,0,1,0,0,3,0,0,4,0,2,14,148,261,259,19,30.70%,87.80%,174,69,180,84,196,202,42.10%,19,0.84,0,15,29,29,12,2,1.3,0.21,1.3,0.21,1.52,9,0,0.13,12,0.33,0.36,21.20%,13,11,13,18,13,15381,,CAV vs HFX,TRUE,FALSE,TRUE,FALSE,FALSE,6/11/2022,7x6a13297w4yer6wc2w65wphw,5gmx3o5y2oc0i6rowjwtu7jvu,15376,15376,Cavalry,HFX Wanderers,HFX,1,0,Played,W 1-0,2276252,CAV vs HFX (2022-06-11)
11,dn8tjhuq0bax4dgixqvluhzze,16614,Atlético Ottawa,Atlético Ottawa,ATO,Atlético,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,1,4,3,1,2,2,6,2,1,0,0,0,0,2,0,2,0,2,0,1,1,3,5,50,17,444,196,181,2.01,2,2,1.49,2,2,2,8,10,21,2,1,41,8,1,0,631,52,4,10,5,34,77.80%,15,7,56,5,1,6,0,0,7,6,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,2,1,2,11,158,198,275,27,32.40%,84.90%,195,59,123,73,227,144,46.20%,26,0.52,2,19,23,23,10,1,1.46,0.56,1.46,0.56,2.01,8,2,0.14,14,0.32,0.24,42.20%,17,18,8,14,8,16614,,ATO vs PAC,TRUE,FALSE,TRUE,FALSE,FALSE,6/5/2022,7wy39t7s4ahfcd8vhnv13q2hg,b3436h8h14zw7f1uv6w9vqf6y,15380,15380,Atlético Ottawa,Pacific,PAC,2,1,Played,W 2-1,2276250,ATO vs PAC (2022-06-05)
20,c2pdzdl3dgf5b0siidn2ay5ii,15377,Forge,Forge,FOR,Forge,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,3,3,0,3,3,0,0,1,9,4,4,0,0,2,0,1,0,0,1,2,1,0,0,4,5,71,24,527,242,190,1.16,1,1,0.99,2,2,2,7,9,33,4,2,49,14,0,0,743,56,2,5,9,19,46.70%,3,2,62,3,4,3,5,3,9,1,0,0,0,0,0,0,2,2,0,0,3,1,0,1,3,0,0,2,2,1,2,0,0,0,0,0,0,1,2,8,9,186,181,376,25,32.30%,82.00%,243,67,122,87,294,146,44.00%,25,1.19,0,26,6,6,9,4,0.81,0.36,0.81,0.36,1.16,8,2,0.09,13,0.19,0.15,65.20%,25,13,8,16,8,15377,,PAC vs FOR,FALSE,TRUE,FALSE,FALSE,TRUE,4/10/2022,7t6qnou0e2gtfpj8k9tq70x04,b3436h8h14zw7f1uv6w9vqf6y,15380,15380,Forge,Pacific,PAC,1,2,Played,L 1-2,2276219,PAC vs FOR (2022-04-10)
20,cqthcpums3aas2tdy0qhlkuwa,15382,York United,York United,YRK,York,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,0,3,3,0,1,1,6,3,2,1,1,0,0,2,0,0,0,1,1,0,2,1,6,71,14,533,224,224,1.53,2,0,0.68,2,1,2,7,9,28,4,1,63,12,2,0,727,56,11,18,6,38,76.30%,3,0,57,4,1,12,3,3,7,0,0,0,1,0,1,0,2,2,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,2,2,6,10,194,143,390,23,31.90%,84.10%,275,67,106,93,325,115,52.90%,17,0.79,1,21,8,8,24,6,0.64,0.89,0.64,0.89,0.74,9,1,0.14,11,0.43,0.33,48.90%,15,9,5,25,5,15382,,YRK vs ATO,TRUE,FALSE,FALSE,TRUE,FALSE,4/29/2022,7ud9jfd1i3ydlzce7aiua7x90,dn8tjhuq0bax4dgixqvluhzze,16614,16614,York United,Atlético Ottawa,ATO,2,2,Played,T 2-2,2276229,YRK vs ATO (2022-04-29)
20,cqthcpums3aas2tdy0qhlkuwa,15382,York United,York United,YRK,York,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,3,3,0,1,1,0,1,0,9,2,5,0,0,0,0,0,0,0,0,2,0,0,0,2,6,48,11,388,210,119,1.71,0,0,1.63,2,2,2,7,9,21,1,1,48,7,1,1,578,54,8,11,7,37,61.30%,10,4,49,6,1,8,1,3,8,2,0,0,0,0,0,1,1,1,0,0,2,0,0,2,0,0,0,2,1,1,0,0,0,1,1,1,0,6,2,2,8,119,208,251,20,35.80%,84.80%,165,29,135,40,199,149,62.50%,16,1.76,0,23,26,26,9,2,1.66,0.05,1.66,0.05,1.71,9,2,0.16,11,0.39,0.35,42.90%,13,12,16,8,16,15382,,YRK vs CAV,TRUE,FALSE,FALSE,FALSE,TRUE,5/29/2022,7wfk5kdm927rshfkuvaw1tvkk,41ewt71n8fqwy6trsqta1bjvu,15381,15381,York United,Cavalry,CAV,0,1,Played,L 0-1,2276246,YRK vs CAV (2022-05-29)
20,5gmx3o5y2oc0i6rowjwtu7jvu,15376,HFX Wanderers,HFX Wanderers,HFX,Wanderers,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,4,4,0,5,3,2,0,0,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7,52,22,515,239,202,1.05,0,0,1.1,2,2,1,8,9,24,0,0,41,12,0,0,696,39,2,10,9,40,75.00%,18,11,57,4,3,10,0,1,8,5,0,0,0,0,0,1,1,1,0,0,2,0,0,1,2,0,0,2,1,1,0,1,0,0,0,0,0,3,0,2,3,95,197,404,10,31.10%,85.60%,297,40,104,54,336,125,61.50%,13,0.7,0,11,32,32,7,1,1.04,0.01,1.04,0.01,1.05,9,1,0.12,9,0.18,0.25,33.30%,15,17,8,11,8,15376,,ATO vs HFX,FALSE,TRUE,FALSE,FALSE,TRUE,4/16/2022,7tezpc35kcxh7vuq3gncvjvo4,dn8tjhuq0bax4dgixqvluhzze,16614,16614,HFX Wanderers,Atlético Ottawa,ATO,0,1,Played,L 0-1,2276221,ATO vs HFX (2022-04-16)
20,5gmx3o5y2oc0i6rowjwtu7jvu,15376,HFX Wanderers,HFX Wanderers,HFX,Wanderers,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,1,6,6,0,3,0,7,3,1,1,1,1,0,3,0,2,0,1,2,0,3,4,6,70,27,482,221,164,2.85,3,1,1.61,2,1,4,5,9,13,0,0,65,8,1,1,700,47,11,17,11,50,75.70%,9,2,51,2,3,6,7,4,4,3,0,0,0,0,0,1,1,1,0,1,2,0,0,1,1,0,0,2,1,1,0,1,0,0,1,0,0,2,1,2,14,166,235,299,23,34.60%,79.90%,187,61,137,85,232,165,53.80%,26,1.01,2,20,27,27,20,3,0.7,2.15,0.7,2.15,2.07,8,4,0.18,16,0.2,0,53.70%,13,19,10,24,10,15376,,HFX vs EDM,TRUE,FALSE,TRUE,FALSE,FALSE,4/30/2022,7uhzvzsjqt3x7sbx714u496ok,73xrv2025rnj0t3y9ayp83bec,6925,6925,HFX Wanderers,Edmonton,EDM,3,1,Played,W 3-1,2276230,HFX vs EDM (2022-04-30)
20,dn8tjhuq0bax4dgixqvluhzze,16614,Atlético Ottawa,Atlético Ottawa,ATO,Atlético,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,1,4,4,0,1,2,4,1,2,0,0,0,0,1,0,1,0,2,1,0,1,2,3,55,20,401,156,170,1.43,1,1,1.15,3,2,1,8,9,29,3,3,60,14,1,1,600,59,8,9,7,42,77.30%,18,12,58,5,5,7,1,6,8,3,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,4,0,4,19,144,196,260,20,35.70%,81.30%,173,67,86,81,201,119,66.70%,21,0.36,1,8,32,32,9,1,1.4,0.03,1.4,0.03,1.43,8,4,0.13,11,0.38,0.43,44.20%,11,22,6,12,6,16614,,VAL vs ATO,FALSE,TRUE,TRUE,FALSE,FALSE,6/2/2022,7wpldl58asy67q11lvle4a5g4,dd2vf0yzjm7jm7cak9tf11sa2,15378,15378,Atlético Ottawa,Valour,VAL,1,0,Played,W 1-0,2276248,VAL vs ATO (2022-06-02)
26,c2pdzdl3dgf5b0siidn2ay5ii,15377,Forge,Forge,FOR,Forge,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,4,4,1,7,4,3,1,0,2,0,2,1,1,0,0,3,0,3,0,0,1,2,1,4,4,53,25,629,294,257,1.73,4,2,0.83,3,2,0,8,8,25,3,1,50,10,1,0,814,55,9,14,7,33,79.30%,3,0,55,3,3,6,2,5,6,3,0,1,0,0,1,2,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,15,198,196,420,22,29.30%,87.60%,317,108,126,125,352,152,31.30%,16,0.82,3,16,16,16,14,3,0.94,0.79,0.94,0.79,0.94,6,1,0.17,10,0.25,0.31,43.30%,17,17,2,12,2,15377,,EDM vs FOR,FALSE,TRUE,TRUE,FALSE,FALSE,6/1/2022,7wjjm07b8b8eho2bvjlmz0ums,73xrv2025rnj0t3y9ayp83bec,6925,6925,Forge,Edmonton,EDM,4,3,Played,W 4-3,2276247,EDM vs FOR (2022-06-01)
26,cqthcpums3aas2tdy0qhlkuwa,15382,York United,York United,YRK,York,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,0,2,1,1,3,3,6,1,2,0,0,0,0,0,0,0,0,3,0,0,0,1,4,68,20,391,170,133,0.93,0,0,0.34,1,1,4,4,8,17,0,0,56,7,1,0,607,51,7,13,13,50,57.10%,17,9,53,6,4,7,3,6,7,4,0,0,0,0,0,0,1,1,0,0,5,0,0,2,1,0,0,5,2,3,2,1,0,2,2,0,1,1,1,2,8,133,204,270,21,34.30%,77.50%,158,31,114,46,203,142,81.30%,16,1.76,0,23,27,27,18,5,0.56,0.37,0.56,0.37,0.93,8,2,0.07,14,0.17,0.07,36.40%,19,15,14,14,14,15382,,YRK vs HFX,TRUE,FALSE,FALSE,FALSE,TRUE,4/7/2022,7snp2xnuij3sfcod749flhes4,5gmx3o5y2oc0i6rowjwtu7jvu,15376,15376,York United,HFX Wanderers,HFX,0,1,Played,L 0-1,2276216,YRK vs HFX (2022-04-07)
26,cqthcpums3aas2tdy0qhlkuwa,15382,York United,York United,YRK,York,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,2,2,0,0,0,0,2,1,8,4,3,0,0,1,0,0,0,0,0,2,0,0,0,3,3,76,24,280,93,87,0.56,0,0,0.42,1,1,2,6,8,14,1,0,43,5,0,0,486,65,3,17,22,58,64.50%,15,6,62,6,4,5,1,3,5,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,130,173,183,19,43.60%,64.30%,86,28,66,47,131,102,32.10%,28,1.62,0,31,39,39,16,3,0.28,0.28,0.28,0.28,0.56,8,6,0.05,11,0.32,0.38,39.10%,13,23,18,15,18,15382,,HFX vs YRK,FALSE,TRUE,FALSE,FALSE,TRUE,6/4/2022,7wtvfsqbligsp1ot5eov65tec,5gmx3o5y2oc0i6rowjwtu7jvu,15376,15376,York United,HFX Wanderers,HFX,0,1,Played,L 0-1,2276249,HFX vs YRK (2022-06-04)
26,5gmx3o5y2oc0i6rowjwtu7jvu,15376,HFX Wanderers,HFX Wanderers,HFX,Wanderers,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,3,3,1,6,3,3,0,2,3,0,2,1,1,0,0,1,0,0,0,1,0,0,1,0,8,44,31,415,189,151,1.76,1,0,0.79,1,0,2,6,8,27,2,1,51,15,0,0,642,57,10,7,18,54,68.00%,18,9,62,6,3,8,3,6,7,4,1,0,0,0,1,2,0,0,0,1,2,0,0,0,1,0,0,2,1,1,1,1,0,0,1,0,0,2,1,4,10,125,249,268,18,38.30%,81.90%,174,51,115,63,204,148,18.80%,16,0.93,1,15,41,41,11,2,0.63,1.13,0.63,1.13,0.97,8,6,0.16,11,0.13,0.09,34.30%,15,29,14,14,14,15376,,YRK vs HFX,FALSE,TRUE,TRUE,FALSE,FALSE,4/7/2022,7snp2xnuij3sfcod749flhes4,cqthcpums3aas2tdy0qhlkuwa,15382,15382,HFX Wanderers,York United,YRK,1,0,Played,W 1-0,2276216,YRK vs HFX (2022-04-07)
26,5gmx3o5y2oc0i6rowjwtu7jvu,15376,HFX Wanderers,HFX Wanderers,HFX,Wanderers,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,3,3,0,5,4,1,4,3,5,2,1,0,0,0,0,2,0,0,0,2,1,2,0,3,4,86,24,332,122,100,1.52,2,1,0.82,4,3,4,4,8,22,3,1,71,15,0,0,535,57,5,10,13,48,78.90%,18,8,55,5,2,8,4,6,5,3,0,1,0,0,0,1,2,2,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,4,1,2,8,143,193,199,27,48.80%,66.90%,104,42,76,58,150,124,52.90%,51,1.45,1,22,33,33,8,7,0.81,0.72,0.81,0.72,1.52,8,1,0.09,17,0.18,0,51.10%,21,14,14,15,14,15376,,HFX vs CAV,TRUE,FALSE,FALSE,TRUE,FALSE,5/15/2022,7vmv1w4q6bsqu119wtrvrgums,41ewt71n8fqwy6trsqta1bjvu,15381,15381,HFX Wanderers,Cavalry,CAV,2,2,Played,T 2-2,2276239,HFX vs CAV (2022-05-15)
26,41ewt71n8fqwy6trsqta1bjvu,15381,Cavalry,Cavalry,CAV,Cavalry,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,1,7,5,2,1,1,4,1,2,0,0,1,1,1,1,2,0,1,0,1,1,5,5,67,17,450,227,139,1.4,3,1,0.87,5,3,1,7,8,15,2,1,45,11,2,1,617,56,2,10,6,29,52.20%,11,8,51,6,1,8,4,3,5,2,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,5,0,0,18,128,156,333,22,34.00%,81.30%,230,47,89,60,278,112,52.60%,19,0.44,1,11,19,19,8,2,1.16,0.24,1.16,0.24,1.4,7,2,0.11,13,0.09,0,35.90%,19,11,12,17,12,15381,,EDM vs CAV,FALSE,TRUE,TRUE,FALSE,FALSE,5/7/2022,7v1exwbamyw4d18c7jr6a7b4k,73xrv2025rnj0t3y9ayp83bec,6925,6925,Cavalry,Edmonton,EDM,3,0,Played,W 3-0,2276234,EDM vs CAV (2022-05-07)
26,41ewt71n8fqwy6trsqta1bjvu,15381,Cavalry,Cavalry,CAV,Cavalry,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,3,3,1,6,5,1,1,1,3,2,1,1,0,0,0,2,0,1,0,1,1,1,1,4,3,58,29,425,221,117,1.63,2,0,0.52,3,0,2,6,8,16,3,1,48,7,0,0,616,43,5,8,9,37,68.40%,12,8,64,4,0,5,2,1,7,3,0,0,0,0,1,1,1,1,0,1,2,0,0,0,2,0,0,2,1,1,1,1,0,0,0,0,0,1,2,4,14,156,240,220,35,28.70%,79.50%,143,47,148,71,171,183,66.70%,27,1.02,2,18,23,23,10,4,0.49,1.15,0.49,1.15,0.84,8,2,0.15,11,0.11,0.08,51.10%,21,18,11,18,11,15381,,CAV vs VAL,TRUE,FALSE,TRUE,FALSE,FALSE,5/21/2022,7vz7ogr3qot0jitz8g3mi79jo,dd2vf0yzjm7jm7cak9tf11sa2,15378,15378,Cavalry,Valour,VAL,2,1,Played,W 2-1,2276242,CAV vs VAL (2022-05-21)
26,dn8tjhuq0bax4dgixqvluhzze,16614,Atlético Ottawa,Atlético Ottawa,ATO,Atlético,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,1,3,2,1,1,0,6,3,3,0,0,0,0,1,0,1,1,1,2,0,0,1,5,51,15,372,180,126,0.7,1,1,0.61,0,0,1,7,8,10,2,1,39,4,1,1,563,41,6,8,10,39,53.80%,15,4,51,1,0,9,3,3,10,2,1,0,0,0,0,0,0,0,0,0,5,0,0,1,2,2,0,3,3,2,2,2,0,0,3,0,0,2,2,2,7,154,166,243,17,31.50%,82.30%,148,52,106,70,179,123,38.50%,13,1.05,0,28,22,22,13,4,0.68,0.02,0.68,0.02,0.7,7,0,0.07,10,0.21,0.17,30.00%,14,20,11,8,11,16614,,ATO vs HFX,TRUE,FALSE,TRUE,FALSE,FALSE,4/16/2022,7tezpc35kcxh7vuq3gncvjvo4,5gmx3o5y2oc0i6rowjwtu7jvu,15376,15376,Atlético Ottawa,HFX Wanderers,HFX,1,0,Played,W 1-0,2276221,ATO vs HFX (2022-04-16)
34,73xrv2025rnj0t3y9ayp83bec,6925,Edmonton,Edmonton,EDM,Edmonton,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,4,4,0,5,3,2,0,2,4,2,1,0,0,2,0,0,0,0,0,1,1,0,0,1,6,53,26,261,103,79,0.5,0,0,0.33,0,0,3,4,7,25,2,0,49,11,0,0,465,56,10,7,12,45,60.70%,16,4,48,2,2,8,4,5,4,0,1,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,2,2,1,1,1,0,2,1,0,0,1,3,0,8,98,176,191,11,47.10%,69.70%,92,21,69,33,123,105,42.10%,19,1.56,0,12,26,26,15,4,0.26,0.23,0.26,0.23,0.5,7,5,0.05,11,0.42,0.2,30.00%,8,20,11,10,11,6925,,EDM vs PAC,TRUE,FALSE,FALSE,TRUE,FALSE,4/28/2022,7u8xsns4wvcrxlyqm50founf8,b3436h8h14zw7f1uv6w9vqf6y,15380,15380,Edmonton,Pacific,PAC,0,0,Played,T 0-0,2276228,EDM vs PAC (2022-04-28)
34,c2pdzdl3dgf5b0siidn2ay5ii,15377,Forge,Forge,FOR,Forge,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,4,4,1,3,3,0,2,0,4,1,2,1,1,0,0,3,0,2,0,2,0,1,2,3,2,49,14,529,190,276,2.7,3,2,1.89,5,4,3,4,7,23,3,0,61,13,1,0,713,46,7,13,7,35,69.00%,8,3,48,3,2,6,5,4,11,2,1,0,0,0,0,2,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,2,15,204,145,364,29,29.70%,88.10%,264,115,87,132,297,100,72.70%,11,1.08,3,11,15,15,15,5,1.29,1.41,1.29,1.41,1.91,5,0,0.3,9,0.27,0.5,36.70%,18,11,8,22,8,15377,,FOR vs PAC,TRUE,FALSE,TRUE,FALSE,FALSE,6/12/2022,7xalg1ec3gwvx9usvsss4j28k,b3436h8h14zw7f1uv6w9vqf6y,15380,15380,Forge,Pacific,PAC,3,0,Played,W 3-0,2276253,FOR vs PAC (2022-06-12)
